Date,Adj Price,
2024-10-18,"8,358.2500",
2024-10-17,"8,385.1300",
2024-10-16,"8,329.0700",
2024-10-15,"8,249.2800",
2024-10-14,"8,292.6600",
2024-10-11,"8,253.6500",
2024-10-10,"8,237.7300",
2024-10-09,"8,243.7400",
2024-10-08,"8,190.6100",
2024-10-07,"8,303.6200",
2024-10-04,"8,280.6300",
2024-10-03,"8,282.5200",
2024-10-02,"8,290.8600",
2024-10-01,"8,276.6500",
2024-09-30,"8,236.9500",
2024-09-27,"8,320.7600",
2024-09-26,"8,284.9100",
2024-09-25,"8,268.7000",
2024-09-24,"8,282.7600",
2024-09-23,"8,259.7100",
2024-09-20,"8,229.9900",
2024-09-19,"8,328.7200",
2024-09-18,"8,253.6800",
2024-09-17,"8,309.8600",
2024-09-16,"8,278.4400",
2024-09-13,"8,273.0900",
2024-09-12,"8,240.9700",
2024-09-11,"8,193.9400",
2024-09-10,"8,205.9800",
2024-09-09,"8,270.8400",
2024-09-06,"8,181.4700",
2024-09-05,"8,241.7100",
2024-09-04,"8,269.6000",
2024-09-03,"8,298.4600",
2024-09-02,"8,363.8400",
2024-08-30,"8,376.6300",
2024-08-29,"8,379.6400",
2024-08-28,"8,343.8500",
2024-08-27,"8,345.4600",
2024-08-23,"8,327.7800",
2024-08-22,"8,288.0000",
2024-08-21,"8,283.4300",
2024-08-20,"8,273.3200",
2024-08-19,"8,356.9400",
2024-08-16,"8,311.4100",
2024-08-15,"8,347.3500",
2024-08-14,"8,281.0500",
2024-08-13,"8,235.2300",
2024-08-12,"8,210.2500",
2024-08-09,"8,168.1000",
2024-08-08,"8,144.9700",
2024-08-07,"8,166.8800",
2024-08-06,"8,026.6900",
2024-08-05,"8,008.2300",
2024-08-02,"8,174.7100",
2024-08-01,"8,283.3600",
2024-07-31,"8,367.9800",
2024-07-30,"8,274.4100",
2024-07-29,"8,292.3500",
2024-07-26,"8,285.7100",
2024-07-25,"8,186.3500",
2024-07-24,"8,153.6900",
2024-07-23,"8,167.3700",
2024-07-22,"8,198.7800",
2024-07-19,"8,155.7200",
2024-07-18,"8,204.8900",
2024-07-17,"8,187.4600",
2024-07-16,"8,164.9000",
2024-07-15,"8,182.9600",
2024-07-12,"8,252.9100",
2024-07-11,"8,223.3400",
2024-07-10,"8,193.5100",
2024-07-09,"8,139.8100",
2024-07-08,"8,193.4900",
2024-07-05,"8,203.9300",
2024-07-04,"8,241.2600",
2024-07-03,"8,171.1200",
2024-07-02,"8,121.2000",
2024-07-01,"8,166.7600",
2024-06-28,"8,164.1200",
2024-06-27,"8,179.6800",
2024-06-26,"8,225.3300",
2024-06-25,"8,247.7900",
2024-06-24,"8,281.5500",
2024-06-21,"8,237.7200",
2024-06-20,"8,272.4600",
2024-06-19,"8,205.1100",
2024-06-18,"8,191.2900",
2024-06-17,"8,142.1500",
2024-06-14,"8,146.8600",
2024-06-13,"8,163.6700",
2024-06-12,"8,215.4800",
2024-06-11,"8,147.8100",
2024-06-10,"8,228.4800",
2024-06-07,"8,245.3700",
2024-06-06,"8,285.3400",
2024-06-05,"8,246.9500",
2024-06-04,"8,232.0400",
2024-06-03,"8,262.7500",
2024-05-31,"8,275.3800",
2024-05-30,"8,231.0500",
2024-05-29,"8,183.0700",
2024-05-28,"8,254.1800",
2024-05-24,"8,317.5900",
2024-05-23,"8,339.2300",
2024-05-22,"8,370.3300",
2024-05-21,"8,416.4500",
2024-05-20,"8,424.2000",
2024-05-17,"8,420.2600",
2024-05-16,"8,438.6500",
2024-05-15,"8,445.8000",
2024-05-14,"8,428.1300",
2024-05-13,"8,414.9900",
2024-05-10,"8,433.7600",
2024-05-09,"8,381.3500",
2024-05-08,"8,354.0500",
2024-05-07,"8,313.6700",
2024-05-03,"8,213.4900",
2024-05-02,"8,172.1500",
2024-05-01,"8,121.2400",
2024-04-30,"8,144.1300",
2024-04-29,"8,147.0300",
2024-04-26,"8,139.8300",
2024-04-25,"8,078.8600",
2024-04-24,"8,040.3800",
2024-04-23,"8,044.8100",
2024-04-22,"8,023.8700",
2024-04-19,"7,895.8500",
2024-04-18,"7,877.0500",
2024-04-17,"7,847.9900",
2024-04-16,"7,820.3600",
